FocusSector,Industry Group,Country,Exchange,Ticker,Company Name,Market,Turnover_USD,Above200DMA,Ret252,profit_margin,roe,revenue_growth,verified,yf,unverified_reason,expansion_signal
Medical Devices,Healthcare Products,China,SZSE,300453,"Jiangxi Sanxin Medtec Co.,Ltd. (SZSE:300453)",CN,,,,0.16556999,0.19811001,0.134,PROFITABLE,300453.SZ,,True
Medical Devices,Healthcare Products,China,NasdaqCM,ZJYL,Jin Medical International Ltd. (NasdaqCM:ZJYL),CN,,,,0.05945,0.04018,-0.097,PROFITABLE,ZJYL,,False
Medical Devices,Healthcare Products,China,SHSE,688314,"Kontour (Xi'an) Medical Technology Co., Ltd. (SHSE:688314)",CN,,,,0.25656998,0.12367,-0.107,PROFITABLE,688314.SS,,False
Medical Devices,Healthcare Products,China,SEHK,2291,"LEPU ScienTech Medical Technology (Shanghai) Co., Ltd. (SEHK:2291)",CN,,,,0.45408002,0.11885,-0.109,PROFITABLE,2291.HK,,False
Medical Devices,Healthcare Products,China,SZSE,300003,"Lepu Medical Technology (Beijing) Co., Ltd. (SZSE:300003)",CN,,,,0.12936,0.049239997,-0.037,PROFITABLE,300003.SZ,,False
Medical Devices,Healthcare Products,China,SEHK,1302,LifeTech Scientific Corporation (SEHK:1302),CN,,,,0.10792,0.03234,0.065,PROFITABLE,1302.HK,,False
Medical Devices,Healthcare Products,China,SHSE,688310,Maider Medical Industry Equipment Co. Ltd. (SHSE:688310),CN,,,,0.12683,0.040689997,-0.008,PROFITABLE,688310.SS,,False
Medical Devices,Healthcare Products,China,SZSE,301363,MeHow Innovative Ltd. (SZSE:301363),CN,,,,0.16614,0.0788,0.363,PROFITABLE,301363.SZ,,True
Medical Devices,Healthcare Products,China,SZSE,301033,"Medprin Regenerative Medical Technologies Co., Ltd. (SZSE:301033)",CN,,,,0.29367,0.14171,0.063,PROFITABLE,301033.SZ,,False
Medical Devices,Healthcare Products,China,OTCPK,MHUA.F,"Meihua International Medical Technologies Co., Ltd. (OTCPK:MHUA.F)",CN,,,,,,,UNVERIFIED,MHUA.F,yfinance_data_gap,False
Medical Devices,Healthcare Products,China,SHSE,688029,"Micro-Tech (Nanjing) Co.,Ltd (SHSE:688029)",CN,,,,0.1665,0.13126001,0.221,PROFITABLE,688029.SS,,True
Medical Devices,Healthcare Products,China,SEHK,2160,MicroPort CardioFlow Medtech Corporation (SEHK:2160),CN,,,,-0.32990003,-0.066599995,0.2,NOT-PROFITABLE,2160.HK,,True
Medical Devices,Healthcare Products,China,SEHK,2172,MicroPort NeuroScientific Corporation (SEHK:2172),CN,,,,0.23341,0.105,0.153,PROFITABLE,2172.HK,,True
Medical Devices,Healthcare Products,China,SEHK,853,MicroPort Scientific Corporation (SEHK:853),CN,,,,0.04389,0.029059999,0.181,PROFITABLE,0853.HK,,True
Medical Devices,Healthcare Products,China,SEHK,2235,"MicroTech Medical (Hangzhou) Co., Ltd. (SEHK:2235)",CN,,,,0.060760003,0.020130001,1.13,PROFITABLE,2235.HK,,True
Medical Devices,Healthcare Products,China,SZSE,301101,"Mingyue Optical Lens Co.,Ltd. (SZSE:301101)",CN,,,,0.23381001,0.11666001,0.183,PROFITABLE,301101.SZ,,True
Medical Devices,Healthcare Products,China,SHSE,688273,"Nanjing Medlander Medical Technology Co.,Ltd. (SHSE:688273)",CN,,,,0.20774001,0.05983,-0.161,PROFITABLE,688273.SS,,False
Medical Devices,Healthcare Products,China,SHSE,688580,"Nanjing Vishee Medical Technology Co., Ltd (SHSE:688580)",CN,,,,0.35196,0.09739,0.106,PROFITABLE,688580.SS,,True
Medical Devices,Healthcare Products,China,SZSE,300314,"Ningbo David Medical Device Co., Ltd. (SZSE:300314)",CN,,,,0.12919,0.061100002,-0.069,PROFITABLE,300314.SZ,,False
Medical Devices,Healthcare Products,China,SZSE,301097,"Ningbo Tianyi Medical Appliance Co., Ltd. (SZSE:301097)",CN,,,,-0.01841,-0.01022,0.663,NOT-PROFITABLE,301097.SZ,,True
Medical Devices,Healthcare Products,China,SEHK,1358,PW Medtech Group Limited (SEHK:1358),CN,,,,0.1146,0.028010001,-0.05,PROFITABLE,1358.HK,,False
Medical Devices,Healthcare Products,China,SEHK,9996,Peijia Medical Limited (SEHK:9996),CN,,,,-0.28517,-0.10669,0.144,NOT-PROFITABLE,9996.HK,,True
